0	95046
1	95047
2	95048
3	95049
4	95050
5	95051
6	95052
7	95053
8	95054
9	95055
10	95056
11	95057
12	95058
13	95059
14	95060
15	95061
16	95062
17	95063
18	95064
19	95065
20	95067
21	95068
22	95069
23	95070
24	95071
25	95072
26	95073
27	95074
28	95075
29	95076
30	95077
31	95078
32	95079
33	95080
34	95081
35	95082
36	95083
37	95084
38	95085
39	95086
40	95087
41	95088
42	95089
43	95090
44	95091
45	95092
46	95093
47	95094
48	95095
49	95096
50	95097
51	95098
52	95099
53	95100
54	95101
55	95103
56	95104
57	95105
58	95106
59	95107
60	95108
61	95109
62	95110
63	95111
64	95112
65	95113
66	95114
67	95115
68	95116
69	95117
70	95118
71	95119
72	95120
73	95121
74	95122
75	95123
76	95124
77	95125
78	95126
79	95127
80	95128
81	95129
82	95130
83	95132
84	95133
85	95134
86	95135
87	95136
88	95137
89	95138
90	95139
91	95140
92	95141
93	95142
94	95143
95	95144
96	95145
97	95146
98	95147
99	95148
100	95149
101	95150
102	95151
103	95152
104	95153
105	95154
106	95156
107	95157
108	95159
109	95160
110	95161
111	95162
112	95163
113	95164
114	95165
115	95166
116	95167
117	95168
118	95169
119	95170
120	95171
121	95172
122	95173
123	95174
124	95175
125	95176
126	95177
127	95178
128	95179
129	95180
130	95181
131	95182
132	95183
133	95184
134	95185
135	95186
136	95187
137	95188
138	95189
139	95190
140	95191
141	95192
142	95193
143	95194
144	95195
145	95196
146	95197
147	95198
148	95199
149	95200
150	95201
151	95202
152	95203
153	95204
154	95205
155	95206
156	95207
157	95208
158	95209
159	95210
160	95211
161	95212
162	95213
163	95214
164	95215
165	95216
166	95217
167	95218
168	95219
169	95220
170	95221
171	95222
172	95223
173	95224
174	95225
175	95226
176	95227
177	95228
178	95229
179	95230
180	95231
181	95232
182	95233
183	95234
184	95235
185	95236
186	95237
187	95238
188	95239
189	95240
190	95241
191	95242
192	95243
193	95244
194	95245
195	95246
196	95247
197	95248
198	95249
199	95250
200	95251
201	95252
202	95253
203	95254
204	95255
205	95256
206	95257
207	95258
208	95259
209	95261
210	95262
211	95263
212	95264
213	95265
214	95266
215	95267
216	95268
217	95269
218	95270
219	95271
220	95272
221	95273
222	95274
223	95275
224	95276
225	95277
226	95278
227	95279
228	95280
229	95281
230	95282
231	95283
232	95284
233	95285
234	95286
235	95287
236	95288
237	95289
238	95290
239	95291
240	95292
241	95293
242	95294
243	95295
244	95296
245	95298
246	95299
247	95300
248	95301
249	95302
250	95303
251	95304
252	95305
253	95306
254	95307
255	95308
256	95309
257	95310
258	95311
259	95312
260	95313
261	95314
262	95315
263	95316
264	95317
265	95318
266	95320
267	95321
268	95322
269	95323
270	95325
271	95326
272	95327
273	95328
274	95329
275	95330
276	95331
277	95332
278	95333
279	95334
280	95335
281	95336
282	95337
283	95338
284	95339
285	95340
286	95341
287	95342
288	95343
289	95344
290	95345
291	95346
292	95347
293	95348
294	95349
295	95350
296	95351
297	95352
298	95353
299	95354
300	95355
301	95356
302	95357
303	95358
304	95359
305	95360
306	95362
307	95363
308	95364
309	95365
310	95366
311	95368
312	95369
313	95370
314	95371
315	95372
316	95373
317	95374
318	95375
319	95376
320	95377
321	95378
322	95379
323	95380
324	95381
325	95382
326	95383
327	95384
328	95385
329	95386
330	95387
331	95388
332	95389
333	95390
334	95391
335	95392
336	95393
337	95394
338	95395
339	95396
340	95397
341	95398
342	95399
343	95400
344	95401
345	95402
346	95403
347	95404
348	95405
349	95406
350	95407
351	95408
352	95409
353	95410
354	95411
355	95412
356	95413
357	95414
358	95415
359	95416
360	95417
361	95418
362	95420
363	95421
364	95422
365	95423
366	95424
367	95425
368	95426
369	95427
370	95428
371	95429
372	95430
373	95431
374	95432
375	95433
376	95434
377	95435
378	95436
379	95437
380	95438
381	95439
382	95440
383	95441
384	95442
385	95443
386	95444
387	95445
388	95446
389	95447
390	95448
391	95449
392	95450
393	95451
394	95452
395	95453
396	95454
397	95455
398	95456
399	95457
400	95458
401	95459
402	95460
403	95461
404	95462
405	95463
406	95464
407	95465
408	95466
409	95467
410	95468
411	95469
412	95470
413	95471
414	95472
415	95473
416	95474
417	95475
418	95476
419	95477
420	95478
421	95479
422	95480
423	95481
424	95482
425	95483
426	95484
427	95485
428	95486
429	95487
430	95488
431	95489
432	95490
433	95491
434	95492
435	95493
436	95494
437	95495
438	95496
439	95497
440	95498
441	95499
442	95500
443	95501
444	95502
445	95503
446	95504
447	95505
448	95506
449	95507
450	95509
451	95510
452	95511
453	95512
454	95513
455	95514
456	95515
457	95516
458	95517
459	95518
460	95520
461	95521
462	95522
463	95523
464	95524
465	95525
466	95526
467	95527
468	95528
469	95529
470	95530
471	95531
472	95532
473	95533
474	95534
475	95535
476	95536
477	95537
478	95538
479	95539
480	95540
481	95541
482	95542
483	95543
484	95544
485	95545
486	95546
487	95547
488	95548
489	95549
490	95550
491	95551
492	95552
493	95553
494	95554
495	95555
496	95556
497	95557
498	95558
499	95559
500	95560
501	95561
502	95562
503	95563
504	95565
505	95566
506	95567
507	95568
508	95569
509	95570
510	95571
511	95572
512	95573
513	95574
514	95575
515	95576
516	95577
517	95578
518	95579
519	95580
520	95581
521	95582
522	95583
523	95584
524	95585
525	95586
526	95587
527	95588
528	95589
529	95590
530	95591
531	95592
532	95593
533	95594
534	95595
535	95596
536	95597
537	95598
538	95599
539	95600
540	95601
541	95602
542	95603
543	95604
544	95605
545	95606
546	95607
547	95608
548	95609
549	95610
550	95611
551	95612
552	95613
553	95614
554	95615
555	95616
556	95617
557	95618
558	95619
559	95620
560	95621
561	95622
562	95623
563	95624
564	95625
565	95626
566	95627
567	95628
568	95629
569	95630
570	95631
571	95632
572	95633
573	95634
574	95635
575	95636
576	95637
577	95638
578	95639
579	95640
580	95641
581	95642
582	95643
583	95644
584	95645
585	95646
586	95647
587	95648
588	95649
589	95650
590	95651
591	95652
592	95653
593	95654
594	95655
595	95656
596	95657
597	95658
598	95659
599	95660
600	95661
601	95662
602	95663
603	95664
604	95665
605	95666
606	95667
